dataset,config_id,ef_mult,lsh_L,lsh_K,lsh_seed,dim_low,run_id,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
deep,ef5L_L2K4s2d16,5,2,4,2,16,1,74.804802,0.001818,0.938000,76.037216,0.002617,0.938
deep,ef5L_L2K4s2d16,5,2,4,2,16,2,75.562057,0.002077,0.937000,78.387115,0.002579,0.94
deep,ef5L_L2K4s4d16,5,2,4,4,16,1,74.545692,0.001753,0.942000,75.867111,0.002519,0.935
deep,ef5L_L2K4s4d16,5,2,4,4,16,2,75.609177,0.001457,0.941000,76.080193,0.002645,0.935
deep,ef5L_L4K4s4d16,5,4,4,4,16,1,75.889336,0.001524,0.942000,80.498329,0.002843,0.938
deep,ef5L_L4K4s4d16,5,4,4,4,16,2,76.212975,0.001483,0.945000,73.684540,0.002440,0.935
deep,ef5L_L4K4s6d24,5,4,4,6,24,1,74.706474,0.001345,0.937000,74.208420,0.002499,0.935
deep,ef5L_L4K4s6d24,5,4,4,6,24,2,73.940094,0.001340,0.941000,74.409088,0.002609,0.938
deep,ef4L_L4K4s4d16,4,4,4,4,16,1,76.047668,0.001131,0.936000,73.535637,0.002691,0.925
deep,ef4L_L4K4s4d16,4,4,4,4,16,2,75.914543,0.001121,0.934000,73.846901,0.002546,0.923
deep,ef4L_L2K4s4d16,4,2,4,4,16,1,74.823868,0.001089,0.931000,73.210938,0.002570,0.924
deep,ef4L_L2K4s4d16,4,2,4,4,16,2,73.385811,0.001106,0.927000,73.675728,0.002512,0.923
gist,ef5L_L2K4s2d16,5,2,4,2,16,1,232.023560,0.002935,0.875000,232.131210,0.005706,0.875
gist,ef5L_L2K4s2d16,5,2,4,2,16,2,232.109528,0.002976,0.879000,230.269730,0.005154,0.875
gist,ef5L_L2K4s4d16,5,2,4,4,16,1,230.454025,0.003917,0.860000,230.093048,0.005287,0.879
gist,ef5L_L2K4s4d16,5,2,4,4,16,2,230.245453,0.004018,0.884000,229.767090,0.005567,0.874
gist,ef5L_L4K4s4d16,5,4,4,4,16,1,232.079208,0.004104,0.874000,228.945786,0.005248,0.868
gist,ef5L_L4K4s4d16,5,4,4,4,16,2,228.667938,0.002927,0.869000,229.799438,0.005398,0.865
gist,ef5L_L4K4s6d24,5,4,4,6,24,1,230.126129,0.003103,0.877000,232.823074,0.006000,0.877
gist,ef5L_L4K4s6d24,5,4,4,6,24,2,233.722000,0.004206,0.881000,236.150558,0.005312,0.874
gist,ef4L_L4K4s4d16,4,4,4,4,16,1,232.134613,0.002491,0.859000,233.408951,0.005001,0.852
gist,ef4L_L4K4s4d16,4,4,4,4,16,2,230.002533,0.003836,0.847000,232.544022,0.005535,0.85
gist,ef4L_L2K4s4d16,4,2,4,4,16,1,232.301208,0.002404,0.865000,249.986191,0.005526,0.839
