variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
sift,baseline,1,lb,0,200,300,0.1,36.481655,0.001111,0.980000,35.279728,0.001712,0.965
sift,baseline,2,lb,0,200,300,0.1,35.777271,0.001046,0.976000,36.420219,0.001754,0.968
sift,baseline,3,lb,0,200,300,0.1,36.545189,0.001464,0.982000,36.522251,0.001828,0.968
sift,exp2,1,mst,1,32,64,0.05,39.964687,0.001040,0.980000,39.340137,0.001700,0.97
sift,exp2,2,mst,1,32,64,0.05,39.964252,0.001055,0.980000,39.129574,0.001658,0.965
sift,exp2,3,mst,1,32,64,0.05,39.397041,0.001000,0.982000,39.746056,0.001741,0.97
sift,exp3,1,mst,1,32,128,0.05,39.657749,0.001033,0.980000,39.307590,0.001687,0.97
sift,exp3,2,mst,1,32,128,0.05,39.961300,0.001520,0.981000,39.601250,0.001759,0.964
sift,exp3,3,mst,1,32,128,0.05,40.152031,0.001050,0.979000,39.714279,0.001762,0.968
sift,exp4,1,mst,1,64,64,0.05,40.784100,0.001055,0.980000,41.035404,0.001790,0.965
sift,exp4,2,mst,1,64,64,0.05,39.542862,0.001054,0.984000,40.261059,0.001872,0.966
sift,exp4,3,mst,1,64,64,0.05,40.325783,0.001436,0.977000,41.602745,0.001844,0.968
sift,exp5,1,mst,1,64,128,0.05,40.123302,0.001007,0.981000,39.946003,0.001855,0.966
sift,exp5,2,mst,1,64,128,0.05,40.251007,0.001486,0.980000,40.324219,0.002002,0.968
sift,exp5,3,mst,1,64,128,0.05,40.373528,0.001027,0.983000,39.641933,0.001694,0.969
sift,exp6,1,mst,1,128,128,0.05,40.005390,0.001438,0.982000,39.098835,0.001741,0.967
sift,exp6,2,mst,1,128,128,0.05,40.229458,0.001070,0.980000,39.452560,0.002098,0.971
sift,exp6,3,mst,1,128,128,0.05,40.252651,0.001046,0.981000,41.487518,0.001902,0.968
sift,exp7,1,mst,1,32,64,0.01,40.093548,0.001048,0.981000,40.424023,0.001780,0.963
sift,exp7,2,mst,1,32,64,0.01,40.037285,0.001491,0.983000,42.293056,0.001914,0.969
sift,exp7,3,mst,1,32,64,0.01,39.515263,0.001039,0.978000,38.979015,0.001879,0.968
sift,exp8,1,mst,1,32,64,0.10,40.073219,0.001341,0.980000,39.947460,0.001766,0.967
sift,exp8,2,mst,1,32,64,0.10,40.140961,0.001036,0.979000,40.124763,0.001825,0.966
sift,exp8,3,mst,1,32,64,0.10,42.933670,0.001023,0.980000,39.416656,0.001757,0.967
